enterprise_id,application_number,kvic_branch_code,financial_year,application_date,sanction_date,disbursement_date,state,district,block,location_type,gender,category,age,education_level,is_physically_challenged,sector,activity,enterprise_status,previous_enterprise_id,project_cost_rs,margin_money_subsidy_rs,subsidy_percentage,bank_loan_amount_rs,beneficiary_contribution_rs,bank_name,bank_branch,employment_at_setup,male_employees,female_employees,current_employment,is_second_loan_availed,second_loan_date,upgraded_to_small_enterprise,upgrade_date,additional_employment_after_upgrade,operational_status,last_inspection_date,annual_turnover_rs,sustainability_score
PMEGP-2023-000001,APP-770487,KVIC-KAR-04,2024-25,2024-05-28,2024-06-28,2024-07-30,Karnataka,Mysuru,Mysuru-Block-2,Urban,Female,OBC,55,Below 10th,False,Manufacturing,Electronics & IT Hardware,New,,1384834,327676.12,23.66,918674.48,138483.4,State Bank of India,State-Mysuru-1,4,2,2,5,False,,False,,0,Operational,2025-03-26,1184833.69,81
PMEGP-2024-000002,APP-731262,KVIC-KER-08,2025-26,2025-04-07,2025-06-11,2025-07-08,Kerala,Kollam,Kollam-Block-4,Urban,Male,General,49,Post Graduate,False,Manufacturing,Paper & Paper Products,New,,2197498,424544.53,19.32,1553203.67,219749.8,State Bank of India,State-Kollam-3,9,4,5,12,False,,False,,0,Operational,2026-03-16,2585649.6,69
PMEGP-2025-000003,APP-325772,KVIC-WES-12,2023-24,2023-09-20,2023-10-26,2023-11-15,West Bengal,Kolkata,Kolkata-Block-3,Rural,Male,SC,37,Below 10th,False,Service,Professional Services,New,,681741,173601.97,25.46,439964.93,68174.1,HDFC Bank,HDFC-Kolkata-2,5,3,2,0,False,,True,2025-09-27,7,Closed,2024-10-20,0.0,29
PMEGP-2023-000004,APP-479201,KVIC-MAH-10,2025-26,2025-08-26,2025-10-07,2025-12-06,Maharashtra,Mumbai,Mumbai-Block-2,Urban,Male,General,26,10th Pass,False,Manufacturing,Mineral Products,New,,711815,142019.69,19.95,498613.81,71181.5,Indian Bank,Indian-Mumbai-5,10,4,6,0,False,,False,,0,Closed,2026-07-15,0.0,21
PMEGP-2024-000005,APP-472528,KVIC-KER-06,2023-24,2023-07-17,2023-09-27,2023-10-29,Kerala,Thiruvananthapuram,Thiruvananthapuram-Block-5,Urban,Male,OBC,55,Technical/ITI,False,Manufacturing,Wood Products,Upgraded,PMEGP-2020-030295,1295775,294806.02,22.75,871391.48,129577.5,Union Bank of India,Union-Thiruvananthapuram-9,6,4,2,0,False,,False,,0,Closed,2024-05-10,0.0,17
PMEGP-2025-000006,APP-961722,KVIC-WES-07,2023-24,2023-04-17,2023-07-07,2023-08-11,West Bengal,Durgapur,Durgapur-Block-1,Rural,Male,OBC,41,10th Pass,False,Manufacturing,Leather Products,New,,1546963,441929.17,28.57,950337.53,154696.3,Indian Bank,Indian-Durgapur-8,5,2,3,7,False,,False,,0,Operational,2024-03-13,1548953.54,72
PMEGP-2023-000007,APP-881177,KVIC-KER-19,2025-26,2025-08-22,2025-10-25,2025-11-25,Kerala,Kollam,Kollam-Block-4,Urban,Male,General,46,12th Pass,False,Service,IT & ITES,New,,345051,78370.41,22.71,232175.49,34505.1,HDFC Bank,HDFC-Kollam-8,2,0,2,1,False,,False,,0,Operational,2026-06-21,383988.78,69
PMEGP-2024-000008,APP-757924,KVIC-WES-13,2025-26,2025-05-11,2025-07-30,2025-09-26,West Bengal,Siliguri,Siliguri-Block-1,Urban,Male,General,45,Post Graduate,False,Manufacturing,Metal Products,New,,1609633,344068.3,21.38,1104601.4,160963.3,Union Bank of India,Union-Siliguri-9,3,2,1,2,False,,False,,0,Operational,2026-09-15,1807464.08,93
PMEGP-2025-000009,APP-663054,KVIC-RAJ-14,2025-26,2025-10-10,2025-11-26,2026-01-21,Rajasthan,Jaipur,Jaipur-Block-3,Urban,Male,SC,31,Graduate,False,Service,Retail Trade,New,,957168,241725.04,25.25,619726.16,95716.8,IndusInd Bank,IndusInd-Jaipur-5,6,2,4,6,False,,False,,0,Operational,2026-11-26,2410443.94,94
PMEGP-2023-000010,APP-211579,KVIC-BIH-05,2024-25,2025-02-15,2025-04-05,2025-05-30,Bihar,Darbhanga,Darbhanga-Block-2,Rural,Female,General,44,10th Pass,False,Service,Business Services,New,,756116,194849.57,25.77,485654.83,75611.6,State Bank of India,State-Darbhanga-10,4,2,2,9,False,,False,,0,Operational,2025-11-30,2502882.83,68
